"","title","amount","dep","trans","views","city","states","date","time"
"674","I Paid Rs. 345 to Stamps and Registration in Punjaipugalur.",345,"Stamps and Registration","Registration of Property",25,"Punjaipugalur","Tamil Nadu",2015-10-12,22
"675","I Paid Rs. 15000 to Stamps and Registration in Bangalore.",15000,"Stamps and Registration","Registration of Flat or Apartment",26,"Bangalore","Karnataka",2015-10-12,22
"676","I Paid Rs. 987 to Food, Civil Supplies and Consumer Affairs in Leh (Ladakh).",987,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",20,"Leh (Ladakh)","Jammu and Kashmir",2015-10-12,22
"677","I Paid Rs. 800 to Municipal Services in Bangalore.",800,"Municipal Services","Birth Certificate",29,"Bangalore","Karnataka",2015-10-12,22
"678","I Paid Rs. 1000 to Transport in Bangalore.",1000,"Transport","Registration of Vehicle",33,"Bangalore","Karnataka",2015-10-12,22
"679","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Filing FIR",27,"Bangalore","Karnataka",2015-10-12,22
"680","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport","Duplicate Registration Certificate",37,"Bangalore","Karnataka",2015-10-12,22
"681","I Paid Rs. 1500 to Transport in Bangalore.",1500,"Transport","Registration of Vehicle",30,"Bangalore","Karnataka",2015-10-12,22
"682","I Paid Rs. 1500 to Police in Bangalore.",1500,"Police","Police Verification for Passport",25,"Bangalore","Karnataka",2015-10-12,22
"683","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",23,"Bangalore","Karnataka",2015-10-12,22
"684","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Filing FIR",24,"Bangalore","Karnataka",2015-10-12,22
"685","I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Bangalore.",1000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",25,"Bangalore","Karnataka",2015-10-12,22
"686","I Paid Rs. 1500 to Police in Bangalore.",1500,"Police","Police Verification for Passport",22,"Bangalore","Karnataka",2015-10-12,22
"687","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Bangalore.",800,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",24,"Bangalore","Karnataka",2015-10-12,22
"688","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Police Verification for Passport",18,"Bangalore","Karnataka",2015-10-12,22
"689","I Paid Rs. 1500 to Transport in Bangalore.",1500,"Transport","Duplicate Registration Certificate",27,"Bangalore","Karnataka",2015-10-12,22
"690","I Paid Rs. 100 to Others in Gurgaon.",100,"Others","Others",84,"Gurgaon","Haryana",2015-10-12,22
"691","I Paid Rs. 800 to Commercial Tax, Sales Tax, VAT in Bangalore.",800,"Commercial Tax, Sales Tax, VAT","C Form",31,"Bangalore","Karnataka",2015-10-12,22
"692","I Paid Rs. 2000 to Stamps and Registration in Hyderabad.",2000,"Stamps and Registration","Registration of Flat or Apartment",55,"Hyderabad","Telangana",2015-10-12,22
"693","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Registration of Property",22,"Bangalore","Karnataka",2015-10-12,22
"694","I Paid Rs. 234 to Stamps and Registration in Nuzvid.",234,"Stamps and Registration","Marriage Certificate",40,"Nuzvid","Andhra Pradesh",2015-10-12,22
"695","I Paid Rs. 700 to Transport in Bangalore.",700,"Transport","Duplicate Registration Certificate",27,"Bangalore","Karnataka",2015-10-12,22
"696","I Paid Rs. 1000 to Stamps and Registration in Bangalore.",1000,"Stamps and Registration","Registration of Property",22,"Bangalore","Karnataka",2015-10-12,22
"697","I Paid Rs. 1300 to Stamps and Registration in Bangalore.",1300,"Stamps and Registration","Registration of Property",22,"Bangalore","Karnataka",2015-10-12,22
"698","I Paid Rs. 5000 to Stamps and Registration in Bangalore.",5000,"Stamps and Registration","Registration of Flat or Apartment",21,"Bangalore","Karnataka",2015-10-12,22
"699","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Traffic Violations",24,"Bangalore","Karnataka",2015-10-12,22
"700","I Paid Rs. 600 to Commercial Tax, Sales Tax, VAT in Bangalore.",600,"Commercial Tax, Sales Tax, VAT","C Form",34,"Bangalore","Karnataka",2015-10-12,22
"701","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Police Verification for Passport",23,"Bangalore","Karnataka",2015-10-12,22
"702","I Paid Rs. 3000 to Transport in Bangalore.",3000,"Transport","Registration of Vehicle",25,"Bangalore","Karnataka",2015-10-12,22
"703","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",28,"Bangalore","Karnataka",2015-10-12,22
"704","I Paid Rs. 5000 to Stamps and Registration in Bangalore.",5000,"Stamps and Registration","Registration of Property",23,"Bangalore","Karnataka",2015-10-12,22
"705","I Paid Rs. 500 to Income Tax in Bangalore.",500,"Income Tax","New PAN Card",43,"Bangalore","Karnataka",2015-10-12,22
"706","I Paid Rs. 6000 to Commercial Tax, Sales Tax, VAT in Pune.",6000,"Commercial Tax, Sales Tax, VAT","C Form",57,"Pune","Maharashtra",2015-10-12,22
"707","I Paid Rs. 1200 to Police in Bangalore.",1200,"Police","Police Verification for Passport",24,"Bangalore","Karnataka",2015-10-12,22
"708","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",28,"Bangalore","Karnataka",2015-10-12,22
"709","I Paid Rs. 1000 to Transport in Bangalore.",1000,"Transport","Duplicate Registration Certificate",27,"Bangalore","Karnataka",2015-10-12,22
"710","I Paid Rs. 500 to Passport in Bangalore.",500,"Passport","Police Verification for Passport",27,"Bangalore","Karnataka",2015-10-12,22
"711","I Paid Rs. 1500 to Municipal Services in Bangalore.",1500,"Municipal Services","Birth Certificate",31,"Bangalore","Karnataka",2015-10-12,22
"712","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Police Verification for Passport",21,"Bangalore","Karnataka",2015-10-12,22
"713","I Paid Rs. 250 to Railways in Bangalore.",250,"Railways","Transport of Goods",135,"Bangalore","Karnataka",2015-10-12,22
"714","I Paid Rs. 1000 to Transport in New Delhi.",1000,"Transport","New Domestic Driving License",60,"New Delhi","Delhi",2015-10-12,22
"715","I Paid Rs. 2000 to Stamps and Registration in Bangalore.",2000,"Stamps and Registration","Marriage Certificate",28,"Bangalore","Karnataka",2015-10-12,22
"716","I Paid Rs. 350 to Police in Bangalore.",350,"Police","Traffic Violations",22,"Bangalore","Karnataka",2015-10-12,22
"717","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",31,"Bangalore","Karnataka",2015-10-12,22
"718","I Paid Rs. 1700 to Stamps and Registration in Bangalore.",1700,"Stamps and Registration","Registration of Property",25,"Bangalore","Karnataka",2015-10-12,22
"719","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",29,"Bangalore","Karnataka",2015-10-12,22
"720","I Paid Rs. 2500 to Transport in Bangalore.",2500,"Transport","Registration of Vehicle",22,"Bangalore","Karnataka",2015-10-12,22
"721","I Paid Rs. 1000 to Transport in Bangalore.",1000,"Transport","New Domestic Driving License",22,"Bangalore","Karnataka",2015-10-12,22
