"","title","amount","dep","trans","views","city","states","date","time"
"1","I Paid Rs. 111 to Municipal Services in Solapur.",111,"Municipal Services","Birth Certificate",6,"Solapur","Maharashtra",2015-11-03,0
"2","I Paid Rs. 344 to Municipal Services in Almora.",344,"Municipal Services","Birth Certificate",8,"Almora","Uttarakhand",2015-11-03,0
"3","Paid Bribe for Borewell drilling in Bangalore",3700,"Water and Sewage","Water Connection under Sajala",9,"Bangalore","Karnataka",2015-11-03,1
"4","I Paid Rs. 111 to Municipal Services in Abohar.",111,"Municipal Services","Birth Certificate",10,"Abohar","Punjab",2015-11-03,0
"5","I Paid Rs. 1 to Municipal Services in Mumbai.",1,"Municipal Services","Birth Certificate",10,"Mumbai","Maharashtra",2015-11-03,0
"6","I Paid Rs. 5000 to Police in Thane.",5000,"Police","Filing FIR",16,"Thane","Maharashtra",2015-11-03,0
"7","I Paid Rs. 500 to Municipal Services in Lucknow.",500,"Municipal Services","Birth Certificate",17,"Lucknow","Uttar Pradesh",2015-11-03,0
"8","I Paid Rs. 100 to Municipal Services in Mumbai.",100,"Municipal Services","Birth Certificate",13,"Mumbai","Maharashtra",2015-11-03,0
"9","I Paid Rs. 1000 to Police in Hazaribagh.",1000,"Police","Traffic Violations",27,"Hazaribagh","Jharkhand",2015-11-03,0
"10","I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.",50000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",49,"Abohar","Punjab",2015-11-03,0
"11","I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.",5e+05,"Commercial Tax, Sales Tax, VAT","C Form",83,"Kolkata","West Bengal",2015-11-03,0
"12","Bribe for passport verification",200,"Police","Police Verification for Passport",107,"Bangalore","Karnataka",2015-11-02,0
"13","I Paid Rs. 2 to Police in Adari.",2,"Police","Filing FIR",125,"Adari","Uttar Pradesh",2015-11-02,0
"14","I Paid Rs. 10000 to Railways in Chandigarh.",10000,"Railways","Transport of Goods",143,"Chandigarh","Chandigarh",2015-11-02,0
"15","Asked bribe at the heart of Delhi by traffic police",600,"Police","Traffic Violations",145,"New Delhi","Delhi",2015-11-02,0
"16","I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.",100,"Commercial Tax, Sales Tax, VAT","C Form",133,"Durgapur","West Bengal",2015-11-02,0
"17","I Paid Rs. 20 to Others in Pune.",20,"Others","Others",133,"Pune","Maharashtra",2015-11-02,0
"18","I Paid Rs. 1200 to Others in Mumbai.",1200,"Others","Others",131,"Mumbai","Maharashtra",2015-11-02,0
"19","I Paid Rs. 100 to Municipal Services in Itanagar.",100,"Municipal Services","Birth Certificate",117,"Itanagar","Arunachal Pradesh",2015-11-02,0
"20","I Paid Rs. 464001 to Municipal Services in Vidisha.",464001,"Municipal Services","Birth Certificate",122,"Vidisha","Madhya Pradesh",2015-11-02,0
"21","I Paid Rs. 120200 to Transport in Alipurduar.",120200,"Transport","Registration of Vehicle",159,"Alipurduar","West Bengal",2015-11-02,0
"22","I Paid Rs. 1200 to Municipal Services in Kochi.",1200,"Municipal Services","Birth Certificate",172,"Kochi","Kerala",2015-11-02,1
"23","I Paid Rs. 10000 to Police in Mahesana.",10000,"Police","Traffic Violations",163,"Mahesana","Gujarat",2015-11-02,1
"24","I Paid Rs. 200 to Income Tax in Pune.",200,"Income Tax","New PAN Card",167,"Pune","Maharashtra",2015-11-02,1
"25","I Paid Rs. 20000 to Others in Hyderabad.",20000,"Others","Others",188,"Hyderabad","Telangana",2015-11-02,1
"26","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",218,"Kolkata","West Bengal",2015-11-02,2
"27","I Paid Rs. 111 to Municipal Services in Chennai.",111,"Municipal Services","Birth Certificate",209,"Chennai","Tamil Nadu",2015-11-01,2
"28","I Paid Rs. 200 to Municipal Services in Adilabad.",200,"Municipal Services","Birth Certificate",176,"Adilabad","Telangana",2015-11-01,2
"29","I Paid Rs. 2000 to Income Tax in Abohar.",2000,"Income Tax","New PAN Card",178,"Abohar","Punjab",2015-11-01,2
"30","I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",158,"Abohar","Punjab",2015-11-01,2
"31","I Paid Rs. 345 to Municipal Services in Abhayapuri.",345,"Municipal Services","Birth Certificate",144,"Abhayapuri","Assam",2015-11-01,2
"32","I Paid Rs. 33 to Municipal Services in Achhnera.",33,"Municipal Services","Birth Certificate",136,"Achhnera","Uttar Pradesh",2015-11-01,2
"33","I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.",524001,"Commercial Tax, Sales Tax, VAT","C Form",159,"Abohar","Punjab",2015-11-01,2
"34","I Paid Rs. 200 to Police in New Delhi.",200,"Police","Traffic Violations",164,"New Delhi","Delhi",2015-11-01,2
"35","I Paid Rs. 1000 to Municipal Services in Mansa.",1000,"Municipal Services","Birth Certificate",138,"Mansa","Punjab",2015-11-01,2
"36","I Paid Rs. 108 to Income Tax in Rae Bareli.",108,"Income Tax","New PAN Card",133,"Rae Bareli","Uttar Pradesh",2015-11-01,2
"37","I Paid Rs. 100 to Municipal Services in Dehradun.",100,"Municipal Services","Birth Certificate",115,"Dehradun","Uttarakhand",2015-11-01,2
"38","I Paid Rs. 105 to Income Tax in Bhopal.",105,"Income Tax","New PAN Card",102,"Bhopal","Madhya Pradesh",2015-11-01,2
"39","I Paid Rs. 100 to Others in Bahraich.",100,"Others","Others",102,"Bahraich","Uttar Pradesh",2015-11-01,2
"40","I Paid Rs. 1000 to Passport in Kollam.",1000,"Passport","Police Verification for Passport",124,"Kollam","Kerala",2015-11-01,2
"41","I Paid Rs. 8120303241 to Municipal Services in Tikamgarh.",8120303241,"Municipal Services","Birth Certificate",102,"Tikamgarh","Madhya Pradesh",2015-11-01,2
"42","I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.",12345,"Commercial Tax, Sales Tax, VAT","C Form",101,"Abohar","Punjab",2015-11-01,2
"43","I Paid Rs. 50 to Municipal Services in Imphal.",50,"Municipal Services","Birth Certificate",88,"Imphal","Manipur",2015-11-01,2
"44","I Paid Rs. 100 to Municipal Services in Adari.",100,"Municipal Services","Birth Certificate",73,"Adari","Uttar Pradesh",2015-11-01,2
"45","I Paid Rs. 10000 to Police in Kolar.",10000,"Police","Filing FIR",98,"Kolar","Karnataka",2015-11-01,2
"46","I Paid Rs. 4552 to Municipal Services in Achhnera.",4552,"Municipal Services","Birth Certificate",65,"Achhnera","Uttar Pradesh",2015-11-01,2
"47","I Paid Rs. 100 to Customs, Excise and Service Tax in Achhnera.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",73,"Achhnera","Uttar Pradesh",2015-11-01,2
"48","I paid Rs 300 to police conistable at his home in Tirupati",300,"Passport","Police Clearance Certificate",93,"Tirupati","Andhra Pradesh",2015-11-01,2
"49","I Paid Rs. 100 to Municipal Services in Kolkata.",100,"Municipal Services","Birth Certificate",70,"Kolkata","West Bengal",2015-11-01,2
"50","I Paid Rs. 1000 to Police in Bangalore.",1000,"Police","Filing FIR",121,"Bangalore","Karnataka",2015-10-31,3
"51","I Paid Rs. 1122 to Municipal Services in Jhalawar.",1122,"Municipal Services","Birth Certificate",95,"Jhalawar","Rajasthan",2015-10-31,3
"52","I Paid Rs. 600 to Municipal Services in Goalpara.",600,"Municipal Services","Birth Certificate",114,"Goalpara","Assam",2015-10-31,3
"53","I Paid Rs. 400 to Others in Chittoor.",400,"Others","Others",127,"Chittoor","Andhra Pradesh",2015-10-31,3
"54","Bribe for passport verification",200,"Police","Police Clearance Certificate",123,"Mumbai","Maharashtra",2015-10-31,3
"55","I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.",1000,"Commercial Tax, Sales Tax, VAT","C Form",106,"Gurgaon","Haryana",2015-10-31,3
"56","I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.",100,"Commercial Tax, Sales Tax, VAT","C Form",95,"Abohar","Punjab",2015-10-31,3
"57","I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",93,"Abhayapuri","Assam",2015-10-31,3
"58","I Paid Rs. 200 to Income Tax in Bangalore.",200,"Income Tax","New PAN Card",90,"Bangalore","Karnataka",2015-10-31,3
"59","I Paid Rs. 100000 to Municipal Services in Lucknow.",1e+05,"Municipal Services","Birth Certificate",70,"Lucknow","Uttar Pradesh",2015-10-31,3
"60","I Paid Rs. 500 to Passport in Anantapur.",500,"Passport","Police Verification for Passport",88,"Anantapur","Andhra Pradesh",2015-10-31,3
"61","I Paid Rs. 50000 to Municipal Services in Mumbai.",50000,"Municipal Services","Birth Certificate",95,"Mumbai","Maharashtra",2015-10-31,3
"62","I Paid Rs. 13 to Municipal Services in Ahmedabad.",13,"Municipal Services","Birth Certificate",80,"Ahmedabad","Gujarat",2015-10-31,3
"63","I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",94,"Gorakhpur","Uttar Pradesh",2015-10-31,3
"64","I Paid Rs. 10000 to Municipal Services in Bareilly.",10000,"Municipal Services","Birth Certificate",87,"Bareilly","Uttar Pradesh",2015-10-31,3
"65","I Paid Rs. 100 to Transport in Abohar.",100,"Transport","Duplicate Registration Certificate",95,"Abohar","Punjab",2015-10-31,3
"66","I Paid Rs. 100 to Police in New Delhi.",100,"Police","Traffic Violations",77,"New Delhi","Delhi",2015-10-31,3
"67","I Paid Rs. 210 to Municipal Services in Adari.",210,"Municipal Services","Birth Certificate",69,"Adari","Uttar Pradesh",2015-10-31,3
"68","I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Chennai.",100,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",73,"Chennai","Tamil Nadu",2015-10-31,3
"69","I Paid Rs. 40 to Municipal Services in Nagpur.",40,"Municipal Services","Birth Certificate",67,"Nagpur","Maharashtra",2015-10-31,3
"70","I Paid Rs. 10000 to Others in Hyderabad.",10000,"Others","Others",65,"Hyderabad","Telangana",2015-10-31,3
"71","I Paid Rs. 100 to Police in Akola.",100,"Police","Traffic Violations",64,"Akola","Madhya Pradesh",2015-10-31,3
"72","I Paid Rs. 1 to Income Tax in Barabanki.",1,"Income Tax","New PAN Card",63,"Barabanki","Uttar Pradesh",2015-10-31,3
"73","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",10,"Commercial Tax, Sales Tax, VAT","C Form",60,"Abhayapuri","Assam",2015-10-31,3
"74","I Paid Rs. 25 to Municipal Services in Akola.",25,"Municipal Services","Birth Certificate",53,"Akola","Madhya Pradesh",2015-10-31,3
"75","I Paid Rs. 5000 to Stamps and Registration in Pune.",5000,"Stamps and Registration","Registration of Flat or Apartment",97,"Pune","Maharashtra",2015-10-31,3
"76","I Paid Rs. 1 to Municipal Services in Bhubaneswar.",1,"Municipal Services","Birth Certificate",54,"Bhubaneswar","Orissa",2015-10-31,3
"77","No way of getting out of this :(",10000,"Commercial Tax, Sales Tax, VAT","VAT Registration",98,"New Delhi","Delhi",2015-10-31,4
"78","I Paid Rs. 100 to Municipal Services in Abhayapuri.",100,"Municipal Services","Birth Certificate",81,"Abhayapuri","Assam",2015-10-31,4
"79","I Paid Rs. 450 to Municipal Services in Abhayapuri.",450,"Municipal Services","Birth Certificate",73,"Abhayapuri","Assam",2015-10-31,4
"80","I Paid Rs. 10 to Income Tax in Madurai.",10,"Income Tax","New PAN Card",82,"Madurai","Tamil Nadu",2015-10-31,4
"81","I Paid Rs. 15 to Others in Kozhikode.",15,"Others","Others",109,"Kozhikode","Kerala",2015-10-30,4
"82","I Paid Rs. 200 to Municipal Services in Gorakhpur.",200,"Municipal Services","Birth Certificate",103,"Gorakhpur","Uttar Pradesh",2015-10-30,4
"83","I Paid Rs. 300 to Municipal Services in Achhnera.",300,"Municipal Services","Birth Certificate",116,"Achhnera","Uttar Pradesh",2015-10-30,4
"84","I Paid Rs. 777 to Municipal Services in Thane.",777,"Municipal Services","Birth Certificate",99,"Thane","Maharashtra",2015-10-30,4
"85","I Paid Rs. 100 to Passport in Pune.",100,"Passport","Passport Delivery",125,"Pune","Maharashtra",2015-10-30,4
"86","I Paid Rs. 65 to Others in Amritsar.",65,"Others","Others",99,"Amritsar","Punjab",2015-10-30,4
"87","I Paid Rs. 5000 to Municipal Services in Nashik.",5000,"Municipal Services","Birth Certificate",87,"Nashik","Maharashtra",2015-10-30,4
"88","I Paid Rs. 1995 to Municipal Services in Mangalore.",1995,"Municipal Services","Birth Certificate",86,"Mangalore","Karnataka",2015-10-30,4
"89","I Paid Rs. 200 to Municipal Services in Abhayapuri.",200,"Municipal Services","Birth Certificate",70,"Abhayapuri","Assam",2015-10-30,4
"90","I Paid Rs. 272165 to Others in Gonda.",272165,"Others","Others",77,"Gonda","Uttar Pradesh",2015-10-30,4
"91","I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.",33,"Commercial Tax, Sales Tax, VAT","C Form",72,"Abohar","Punjab",2015-10-30,4
"92","I Paid Rs. 10 to Municipal Services in Jabalpur.",10,"Municipal Services","Birth Certificate",79,"Jabalpur","Madhya Pradesh",2015-10-30,4
"93","I Paid Rs. 500 to Income Tax in Hingoli.",500,"Income Tax","New PAN Card",77,"Hingoli","Maharashtra",2015-10-30,4
"94","I Paid Rs. 800 to Municipal Services in Achhnera.",800,"Municipal Services","Birth Certificate",103,"Achhnera","Uttar Pradesh",2015-10-30,5
"95","I Paid Rs. 16000 to Municipal Services in Mumbai.",16000,"Municipal Services","Birth Certificate",123,"Mumbai","Maharashtra",2015-10-29,5
"96","I Paid Rs. 123 to Transport in New Delhi.",123,"Transport","New Domestic Driving License",131,"New Delhi","Delhi",2015-10-29,5
"97","I Paid Rs. 5000 to Municipal Services in Abhayapuri.",5000,"Municipal Services","Birth Certificate",106,"Abhayapuri","Assam",2015-10-29,5
"98","I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.",1000,"Municipal Services","Birth Certificate",88,"Pimpri-Chinchwad","Maharashtra",2015-10-29,5
"99","I Paid Rs. 500 to Others in Ambattur.",500,"Others","Others",107,"Ambattur","Tamil Nadu",2015-10-29,5
"100","I Paid Rs. 2000 to Others in Cooch Behar.",2000,"Others","Others",103,"Cooch Behar","West Bengal",2015-10-29,5
"101","I Paid Rs. 50 to Police in Surat.",50,"Police","Traffic Violations",114,"Surat","Gujarat",2015-10-29,5
"102","I paid a bribe of Rs 5000 for Marriage  Registration",5000,"Stamps and Registration","Marriage Registration",205,"Chennai","Tamil Nadu",2015-10-29,5
"103","I Paid Rs. 123456 to Others in Katihar.",123456,"Others","Others",103,"Katihar","Bihar",2015-10-29,5
"104","I Paid Rs. 8 to Income Tax in Adilabad.",8,"Income Tax","New PAN Card",140,"Adilabad","Telangana",2015-10-29,6
"105","Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior",5000,"Labour","Inspection of Office or Factories",145,"Gwalior","Madhya Pradesh",2015-10-28,6
"106","I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.",1000,"Municipal Services","Birth Certificate",164,"Thiruvananthapuram","Kerala",2015-10-28,6
"107","I paid 3000/- for getting DOB certificate",3000,"Municipal Services","Non Availability Certificate",166,"Visakhapatnam","Andhra Pradesh",2015-10-28,6
"108","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.",10,"Commercial Tax, Sales Tax, VAT","C Form",165,"Cuddapah","Andhra Pradesh",2015-10-28,6
"109","I Paid Rs. 10000 to Others in Guwahati.",10000,"Others","Others",149,"Guwahati","Assam",2015-10-28,6
"110","I Paid Rs. 1200 to Others in Sambalpur.",1200,"Others","Others",148,"Sambalpur","Orissa",2015-10-28,6
"111","I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.",1000,"Customs, Excise and Service Tax","Customs Check and Clearance",174,"Kochi","Kerala",2015-10-28,6
"112","I Paid Rs. 5000 to Municipal Services in Amarpur.",5000,"Municipal Services","Birth Certificate",158,"Amarpur","Bihar",2015-10-28,6
"113","I Paid Rs. 34 to Commercial Tax, Sales Tax, VAT in Achhnera.",34,"Commercial Tax, Sales Tax, VAT","C Form",187,"Achhnera","Uttar Pradesh",2015-10-27,7
"114","I Paid Rs. 1000 to Police in Pune.",1000,"Police","Police Harassment",195,"Pune","Maharashtra",2015-10-27,7
"115","I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services","Birth Certificate",176,"Achhnera","Uttar Pradesh",2015-10-27,7
"116","I Paid Rs. 1111 to Others in Goalpara.",1111,"Others","Others",158,"Goalpara","Assam",2015-10-27,7
"117","I Paid Rs. 23 to Municipal Services in Siliguri.",23,"Municipal Services","Birth Certificate",146,"Siliguri","West Bengal",2015-10-27,7
"118","I Paid Rs. 50 to Customs, Excise and Service Tax in Mumbai.",50,"Customs, Excise and Service Tax","Customs Check and Clearance",163,"Mumbai","Maharashtra",2015-10-27,7
"119","I Paid Rs. 200 to Commercial Tax, Sales Tax, VAT in Shahabad, Hardoi.",200,"Commercial Tax, Sales Tax, VAT","C Form",160,"Shahabad","Hardoi",2015-10-27,7
"120","I Paid Rs. 100 to Municipal Services in Abohar.",100,"Municipal Services","Birth Certificate",163,"Abohar","Punjab",2015-10-27,7
"121","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Jaipur.",10,"Commercial Tax, Sales Tax, VAT","C Form",150,"Jaipur","Rajasthan",2015-10-27,7
"122","Open bribe demanded by officers in shiggaon taluk, haveri district - property Registrar office",10000,"Municipal Services","Registration of Land",226,"Haveri","Karnataka",2015-10-27,7
"123","I Paid Rs. 100 to Passport in Gwalior.",100,"Passport","Passport Delivery",157,"Gwalior","Madhya Pradesh",2015-10-27,7
"124","I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services","Birth Certificate",168,"Achhnera","Uttar Pradesh",2015-10-27,8
"125","I Paid Rs. 10000 to Municipal Services in Mumbai.",10000,"Municipal Services","Birth Certificate",164,"Mumbai","Maharashtra",2015-10-26,8
"126","Corrupt unashamed officers in Madurai DEO Office",2500,"Education","School or College Related Activities",177,"Madurai","Tamil Nadu",2015-10-26,8
"127","I Paid Rs. 400054 to Municipal Services in Mumbai.",400054,"Municipal Services","Birth Certificate",168,"Mumbai","Maharashtra",2015-10-26,8
"128","I Paid Rs. 46 to Stamps and Registration in New Delhi.",46,"Stamps and Registration","Marriage Certificate",194,"New Delhi","Delhi",2015-10-26,8
"129","I Paid Rs. 18 to Others in Tezpur.",18,"Others","Others",155,"Tezpur","Assam",2015-10-26,8
"130","I Paid Rs. 10 to Municipal Services in Mumbai.",10,"Municipal Services","Birth Certificate",144,"Mumbai","Maharashtra",2015-10-26,8
"131","I Paid Rs. 3500 to Transport in Bhubaneswar.",3500,"Transport","Registration of Vehicle",179,"Bhubaneswar","Orissa",2015-10-26,8
"132","I Paid Rs. 123 to Police in Etawah.",123,"Police","Police Harassment",157,"Etawah","Uttar Pradesh",2015-10-26,8
"133","I Paid Rs. 200000 to Municipal Services in New Delhi.",2e+05,"Municipal Services","Birth Certificate",126,"New Delhi","Delhi",2015-10-26,8
"134","I Paid Rs. 100 to Police in Bangalore.",100,"Police","Police Harassment",148,"Bangalore","Karnataka",2015-10-26,8
"135","I Paid Rs. 625000 to Police in Madurai.",625000,"Police","Traffic Violations",172,"Madurai","Tamil Nadu",2015-10-26,8
"136","I Paid Rs. 1 to Others in Indore.",1,"Others","Others",131,"Indore","Madhya Pradesh",2015-10-26,8
"137","I Paid Rs. 15000 to Municipal Services in Anandnagaar.",15000,"Municipal Services","Birth Certificate",125,"Anandnagaar","Assam",2015-10-26,8
"138","I Paid Rs. 10 to Municipal Services in Kolkata.",10,"Municipal Services","Birth Certificate",116,"Kolkata","West Bengal",2015-10-26,8
"139","I Paid Rs. 23 to Municipal Services in Gulbarga.",23,"Municipal Services","Birth Certificate",120,"Gulbarga","Karnataka",2015-10-26,8
"140","I Paid Rs. 20 to Railways in Abhayapuri.",20,"Railways","Transport of Goods",145,"Abhayapuri","Assam",2015-10-26,8
"141","I Paid Rs. 13 to Customs, Excise and Service Tax in Abhayapuri.",13,"Customs, Excise and Service Tax","Customs Check and Clearance",139,"Abhayapuri","Assam",2015-10-26,8
"142","I Paid Rs. 10 to Municipal Services in Gurgaon.",10,"Municipal Services","Birth Certificate",110,"Gurgaon","Haryana",2015-10-26,8
"143","I Paid Rs. 300 to Police in Bangalore.",300,"Police","Traffic Violations",160,"Bangalore","Karnataka",2015-10-26,9
"144","I Paid Rs. 7000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",7000,"Commercial Tax, Sales Tax, VAT","C Form",160,"Abhayapuri","Assam",2015-10-25,9
"145","Bribe given to issue RTC of the land",35000,"Revenue","Urban Land Ceiling Clearance Certificate",158,"Chikmagalur","Karnataka",2015-10-25,9
"146","The Sub Registrar collected INR 35000 before registration of the land",35000,"Stamps and Registration","Land Registration",443,"Chikmagalur","Karnataka",2015-10-25,9
"147","I paid a bribe to a police officer",250,"Passport","Police Verification for Passport",261,"New Delhi","Delhi",2015-10-25,9
"148","I Paid Rs. 120 to Municipal Services in Pune.",120,"Municipal Services","Birth Certificate",176,"Pune","Maharashtra",2015-10-25,9
"149","Bribe paid to Customs Officials at Hyderabad International Airport",2000,"Airports","Immigration Check",202,"Hyderabad","Telangana",2015-10-25,9
"150","I Paid Rs. 100 to Municipal Services in Hyderabad.",100,"Municipal Services","Birth Certificate",196,"Hyderabad","Telangana",2015-10-25,9
"151","I Paid Rs. 25 to Municipal Services in Chennai.",25,"Municipal Services","Birth Certificate",203,"Chennai","Tamil Nadu",2015-10-25,10
"152","I Paid Rs. 500000 to Municipal Services in Aurangabad.",5e+05,"Municipal Services","Birth Certificate",183,"Aurangabad","Maharashtra",2015-10-25,10
"153","I Paid Rs. 100 to Municipal Services in Ulhasnagar.",100,"Municipal Services","Birth Certificate",170,"Ulhasnagar","Maharashtra",2015-10-24,10
"154","I Paid Rs. 2000 to Income Tax in Chennai.",2000,"Income Tax","New PAN Card",205,"Chennai","Tamil Nadu",2015-10-24,10
"155","I Paid Rs. 100 to Police in New Delhi.",100,"Police","Traffic Violations",217,"New Delhi","Delhi",2015-10-24,10
"156","I Paid Rs. 1999 to Municipal Services in Thiruvananthapuram.",1999,"Municipal Services","Birth Certificate",169,"Thiruvananthapuram","Kerala",2015-10-24,10
"157","I Paid Rs. 300000 to Municipal Services in Kolkata.",3e+05,"Municipal Services","Birth Certificate",156,"Kolkata","West Bengal",2015-10-24,10
"158","I Paid Rs. 100 to Municipal Services in Chennai.",100,"Municipal Services","Birth Certificate",166,"Chennai","Tamil Nadu",2015-10-24,10
"159","I Paid Rs. 800000 to Stamps and Registration in Mumbai.",8e+05,"Stamps and Registration","Registration of Property",217,"Mumbai","Maharashtra",2015-10-24,10
"160","I Paid Rs. 100 to Municipal Services in Abhayapuri.",100,"Municipal Services","Birth Certificate",167,"Abhayapuri","Assam",2015-10-24,10
"161","I Paid Rs. 248 to Transport in New Delhi.",248,"Transport","Duplicate Registration Certificate",228,"New Delhi","Delhi",2015-10-24,10
"162","I Paid Rs. 123456 to Others in Dadri.",123456,"Others","Others",172,"Dadri","Uttar Pradesh",2015-10-24,10
"163","I Paid Rs. 10 to Municipal Services in Bhopal.",10,"Municipal Services","Birth Certificate",143,"Bhopal","Madhya Pradesh",2015-10-24,10
"164","I Paid Rs. 500 to Police in Lucknow.",500,"Police","Filing FIR",163,"Lucknow","Uttar Pradesh",2015-10-24,10
"165","I Paid Rs. 12000 to Municipal Services in Mumbai.",12000,"Municipal Services","Birth Certificate",141,"Mumbai","Maharashtra",2015-10-24,10
"166","For taking  an action on filed complaint.",8000,"Police","Lodging Police Complaint",165,"Ghaziabad","Uttar Pradesh",2015-10-24,10
"167","I Paid Rs. 100 to Municipal Services in Adilabad.",100,"Municipal Services","Birth Certificate",123,"Adilabad","Telangana",2015-10-24,10
"168","I Paid Rs. 150 to Municipal Services in Abhayapuri.",150,"Municipal Services","Birth Certificate",132,"Abhayapuri","Assam",2015-10-24,10
"169","I Paid Rs. 100 to Customs, Excise and Service Tax in Gwalior.",100,"Customs, Excise and Service Tax","Customs Check and Clearance",117,"Gwalior","Madhya Pradesh",2015-10-24,10
"170","I Paid Rs. 100 to Income Tax in Mumbai.",100,"Income Tax","New PAN Card",170,"Mumbai","Maharashtra",2015-10-24,11
"171","I Paid Rs. 1 to Municipal Services in Indore.",1,"Municipal Services","Birth Certificate",153,"Indore","Madhya Pradesh",2015-10-23,11
"172","I Paid Rs. 1200 to Municipal Services in Abhayapuri.",1200,"Municipal Services","Birth Certificate",146,"Abhayapuri","Assam",2015-10-23,11
"173","I Paid Rs. 6000 to Others in Abhayapuri.",6000,"Others","Others",167,"Abhayapuri","Assam",2015-10-23,11
"174","I Paid Rs. 50000 to Stamps and Registration in Abohar.",50000,"Stamps and Registration","Marriage Certificate",211,"Abohar","Punjab",2015-10-23,11
"175","I Paid Rs. 15111 to Municipal Services in Surat.",15111,"Municipal Services","Birth Certificate",150,"Surat","Gujarat",2015-10-23,11
"176","I Paid Rs. 100 to Municipal Services in Shivpuri.",100,"Municipal Services","Birth Certificate",131,"Shivpuri","Madhya Pradesh",2015-10-23,11
"177","I Paid Rs. 50 to Municipal Services in Pune.",50,"Municipal Services","Birth Certificate",127,"Pune","Maharashtra",2015-10-23,11
"178","I Paid Rs. 120 to Commercial Tax, Sales Tax, VAT in New Delhi.",120,"Commercial Tax, Sales Tax, VAT","C Form",169,"New Delhi","Delhi",2015-10-23,11
"179","I Paid Rs. 300 to Others in Belgaum.",300,"Others","Others",147,"Belgaum","Karnataka",2015-10-23,11
"180","I Paid Rs. 10 to Customs, Excise and Service Tax in Palasa Kasibugga.",10,"Customs, Excise and Service Tax","Customs Check and Clearance",142,"Palasa Kasibugga","Andhra Pradesh",2015-10-23,11
"181","I Paid Rs. 1000 to Municipal Services in Agartala.",1000,"Municipal Services","Birth Certificate",108,"Agartala","Tripura",2015-10-23,11
"182","I Paid Rs. 15000 to Municipal Services in Uttara Kannada.",15000,"Municipal Services","Birth Certificate",118,"Uttara Kannada","Karnataka",2015-10-23,11
"183","I Paid Rs. 10 to Others in Maldah.",10,"Others","Others",137,"Maldah","West Bengal",2015-10-23,11
"184","I Paid Rs. 250000 to Income Tax in Madurai.",250000,"Income Tax","New PAN Card",141,"Madurai","Tamil Nadu",2015-10-23,11
"185","I Paid Rs. 2500 to Municipal Services in Abhayapuri.",2500,"Municipal Services","Birth Certificate",124,"Abhayapuri","Assam",2015-10-23,11
"186","I Paid Rs. 1400 to Municipal Services in Vadakara.",1400,"Municipal Services","Birth Certificate",122,"Vadakara","Kerala",2015-10-23,11
"187","Airport customs Red channel",1100,"Airports","Customs",196,"Mumbai","Maharashtra",2015-10-23,12
"188","I Paid Rs. 1000 to Railways in Chennai.",1000,"Railways","Transport of Goods",222,"Chennai","Tamil Nadu",2015-10-22,12
"189","I Paid Rs. 200 to Police in Gurgaon.",200,"Police","Filing FIR",180,"Gurgaon","Haryana",2015-10-22,12
"190","I Paid Rs. 100 to Others in Kota.",100,"Others","Others",173,"Kota","Rajasthan",2015-10-22,12
"191","I Paid Rs. 500 to Police in Kolkata.",500,"Police","Filing FIR",200,"Kolkata","West Bengal",2015-10-22,12
"192","I Paid Rs. 76 to Others in New Delhi.",76,"Others","Others",246,"New Delhi","Delhi",2015-10-22,12
"193","I Paid Rs. 42 to Others in Ponnur.",42,"Others","Others",209,"Ponnur","Andhra Pradesh",2015-10-22,12
